id,nombre,presentacion,unidad,categoria
c796,RANITIDINA (50 MG X 5 ML),RANITIDINA NORGREEN 50 mg a.x 1 x 5 ml,un,R
c963,RANITIDINA COMP (150 MG),GASTROSEDOL 150 mg comp.x 30,comp,R
c797,REMIFENTANILO (5 MG FA),FADA REMIFENTANILO 5 mg f.a.x 25,un,R
c10759,RIFAMPICINA COMP,RIFAMPICINA RICHET 300 mg caps.x 8,comp,R
c758,RIFAMPICINA FCO AMP (60 MG),RIFAMPICINA AA RICHET 600 mg iny.f.a.x 1x 50ml,amp,R
c1279,RIFAXIMINA,,un,R
c971,RIFOCINA SPRAY 30 ML (RIFAMICINA),RIFOCINA spray x 30 ml,un,R
c1396,RITUXIMAB 100MG (MED.ONCOLOGICA),,un,R
c1397,RITUXIMAB 500MG (MED.ONCOLOGICA),,un,R
c1086,"SALBUTAMOL 0,5% 20 ML SOL PARA NEBULIZAR",VENTOLIN sol.p/nebul.x 20 ml,frasco,S
c965,SALBUTAMOL AEROSOL PUFF,,un,S
c1480,SEVOFLUORANO (SEVORANE),ISOFLURANO BAXTER env.x 100 ml,un,S
c196,SOL GLUCOSADA HIPERT 25 % 10 ML,SOLUC.GLUCOSADA HIPERTONICA 25% a.x 50 x 20 ml,frasco,S
c1194,SOL HIPERTONICA DE CL DE NA 20% SODIO,SOLUC.CLORURADA HIPERTONICA 20% a.x 100 x 10 ml,un,S
c709,SOL. DE GLUCONATO DE CALCIO 10% AMP 20 ML,GLUCONATO DE CALCIO NORGREEN   10% a.x 1 x 20 ml,amp,S
c1169,SOL. DEXTROSA AL 10% 500 ML SACHET,SOLUCION DE DEXTROSA 10% RIGEC sach. x 500 ml x 15,frasco,S
c1168,SOL. DEXTROSA AL 5% 500 ML SACHET,SOLUCION DEXTROSA 5% JAYOR BOL sachet x 500 ml,frasco,S
c10215,"SOL. P/ DIALISIS PERITONEAL AL 2,5% X 2000ML+",,frasco,S
c1895,"SOL. P/DIALISIS PERITONEAL AL 1,5% X 2000",,un,S
c347,SOL. RINGER LACTATO X 500 ML SACHET,SOLUCION RINGER LACTATO RIGECI sach. x 500 ml x 15,frasco,S
c1167,SOL.FISIOLOGICA AL 0.9% 500 ML,SOLUCION FISIOLOGICA ISOTONICA 15 sach. x 500ml,frasco,S
c10268,SOLUCION MANITOL 15% (X 500 ML),SOLUCION DE MANITOL AL 15 % RI 15 sach. x 500ml,frasco,S
c981,SUCCINILCOLINA 500 MG FA,FOSFITONE 500 mg f.a.x 25,un,S
c967,SUCRALFATO X 200 ML,SUCRALFATO DENVER FARMA 20% susp.x 200 ml,un,S
c980,SULFATO DE MAGNESIO,SULFATO DE MAGNESIO 25% a.x 100 x 5 ml,un,S
c1039,SURFACTANTE B,SURFACTANTE B RICHET 200 mg f.a.x 8 ml,un,S
c10254,"TOBRAMICINA SOL OFT 0,3% X 5 ML",TOBRAGAN 0.3% gts.oft.x 5 ml,frasco,T
c1752,TRIOSULES (FLUOROURACILO) 500 MG FCO AMP (MED.ONCOLOGICO),TRIOSULES 500 mg iny.a.x 5 x 10 ml,amp,T
c230,VACOMICINA 500 AMP,,amp,V
c915,VANCOMICINA 1000 MG FA,VANCOMICINA DRAWER 1000 mg f.a.x 50,un,V
c1137,VASOPRESINA INY X 1 ML,NOVOPRESSINA-V iny.a.x 5 x 1 ml,un,V
c812,VENTOLIN GOTAS,VENTOLIN sol.p/nebul.x 20 ml,un,V
c816,VENTOLIN PUFF,,un,V
c1684,VINCRISTINA 1 MG FCO AMP (MED. ONCOLOGICA),VINCRISTINA LKM 1 1 mg iny.a.x 1,amp,V
c972,VITAMINA B1 100 MG X 1 ML,VITAMINA B1 BIOL FUERTE 100 mg a.x 100 x 1 ml,un,V
c913,VITAMINA B1 FUERTE AMP,VITAMINA B1 BIOL FUERTE 100 mg a.x 100 x 1 ml,amp,V
c912,VITAMINA C AMP 1 G X 5 ML,VITAMINA C 1 GR 1 g sob.x 15,amp,V
c351,VITAMINA K 1 MG X 1 ML,VITAMINA K1 BIOL 1 mg a.x 100 x 0.5 ml,un,V
c970,VITAMINA K 10 MG X 1 ML,VITAMINA K1 BIOL 10 mg a.x 3 x 1 ml,un,V
c346,VOLUVEN,VOLUVEN 6% sachet x 500 ml,un,V
c1704,VORICONAZOL 200 MG AMP,VORICONAZOL SANDOZ 200 mg liof.f.a.x 1,amp,V
