id,nombre,unidad,categoria,tipo,stock_actual
c526,SONDA NELATON Nº 10 (420-10)SILMAG,un,S,descartables,20
c528,SONDA NELATON Nº 16 (420-16)SILMAG,un,S,descartables,45
g45,SONDA NELATON Nº 16 ROJA,un,S,descartables,34
c1037,SONDA P/ DRENAJE TORACICO 40 FR (150-40-01),un,S,descartables,47
c579,SONDA P/ DRENAJE TORACICO K225,un,S,descartables,0
c1036,SONDA PARA DRENAJE 28 FR (150-28) DR. ABDALA,un,S,descartables,23
c529,SONDA RUSCH Nº 10,un,S,descartables,0
c530,SONDA RUSCH Nº 12,un,S,descartables,0
c534,SONDA RUSCH Nº 16,un,S,descartables,0
c748,SONDA RUSCH Nº 18,un,S,descartables,0
c532,SONDA RUSCH Nº 22,un,S,descartables,0
c749,SONDA RUSCH Nº 8,un,S,descartables,0
c750,SONDA RUSCH Nº24,un,S,descartables,0
c690,SONDA TRASPILORICA C/LASTRE Y MANDRIL - SILMAG,un,S,descartables,2
c1228,STERI DRAPE 1015,un,S,descartables,12
c10267,STERI DRAPE 1050,un,S,descartables,70
c1803,STERI DRAPE IODADO 6650 SD 60X45 CM,un,S,descartables,20
c1182,STERI STRIP,un,S,descartables,223
c412,TERGADERM,un,T,descartables,375
c544,TELA ADHESIVA TUBO 2.5,un,T,descartables,191
c545,TELA ADHESIVA TUBO 5,un,T,descartables,58
c541,TELA DURAPORE (SEDA),un,T,descartables,3
c542,TELA HIPOALERGENICA 2.5,un,T,descartables,72
c543,TELA HIPOHALERGENICA 5 CM,un,T,descartables,298
c410,TENSIOMETROS,un,T,descartables,10
c411,TENSIOMETROS PEDIATRICOS,un,T,descartables,6
c546,TERMOMETROS DIGITAL,un,T,descartables,46
c547,TIRAS PARA HEMOGLUCOTES,un,T,descartables,1350
c1705,TROCAR TORACICO N°16,un,T,descartables,16
c1760,TROCAR TORACICO N°18,un,T,descartables,18
c1707,TROCAR TORACICO N°28,un,T,descartables,10
c1146,TROCAR TORACICO Nº10,un,T,descartables,22
c1144,TROCAR TORACICO Nº12,un,T,descartables,24
c1145,TROCAR TORACICO Nº14,un,T,descartables,6
c1147,TROCAR TORACICO Nº8,un,T,descartables,17
g46,TROCAR TORACICO Nº22,un,T,descartables,11
g47,TROCAR TORACICO N° 20,un,T,descartables,1
c10350,TUBO CORRUGADO,un,T,descartables,21
c611,TUBO EN T PARA OXIGENO,un,T,descartables,38
g48,TUBO DE DRENAJE BRONQUIAL SELECTIVO DER.,un,T,descartables,0
c1916,TUBO DE DRENAJE BRONQUIAL SELECTIVO IZQ. 35,un,T,descartables,5
c1964,TUBO DE DRENAJE BRONQUIAL SELECTIVO IZQ. 37,un,T,descartables,2
c1917,TUBO DE DRENAJE BRONQUIAL SELECTIVO IZQ. 39,un,T,descartables,2
c1295,TUBO DE DRENAJE (SILMAG) 110-12,un,T,descartables,24
c1296,TUBO DE DRENAJE (SILMAG) 110-16,un,T,descartables,11
c10156,TUBO DE DRENAJE (SILMAG) 110-20,un,T,descartables,16
c574,TUBO DE DRENAJE (SILMAG) 110-24,un,T,descartables,53
c1038,TUBO DE DRENAJE (SILMAG) 110-28,un,T,descartables,50
c576,TUBO DE DRENAJE (SILMAG) 110-32,un,T,descartables,74
c577,TUBO DE DRENAJE MULTILUMEN (SILMAG) 140-07,un,T,descartables,11
g49,TUBO ENDOTRAQUEAL Nº 2 1/2 CON/B,un,T,descartables,17
c553,TUBO ENDOTRAQUEAL Nº 2 1/2 S/B,un,T,descartables,14
g50,TUBO ENDOTRAQUEAL Nº 2 C/B,un,T,descartables,9
c552,TUBO ENDOTRAQUEAL Nº 2 S/B,un,T,descartables,12
c1808,TUBO ENDOTRAQUEAL Nº 3 1/2 C/B,un,T,descartables,21
c557,TUBO ENDOTRAQUEAL Nº 3 1/2 S/B,un,T,descartables,41
c1215,TUBO ENDOTRAQUEAL Nº 3 C/B,un,T,descartables,46
c556,TUBO ENDOTRAQUEAL Nº 3 S/B,un,T,descartables,21
c754,TUBO ENDOTRAQUEAL Nº 4 1/2 C/B,un,T,descartables,14
c559,TUBO ENDOTRAQUEAL Nº 4 1/2 S/B,un,T,descartables,18
c563,TUBO ENDOTRAQUEAL Nº 4 C/B,un,T,descartables,35
c558,TUBO ENDOTRAQUEAL Nº 4 S/B,un,T,descartables,78
c755,TUBO ENDOTRAQUEAL Nº 5 1/2 C/B,un,T,descartables,9
c560,TUBO ENDOTRAQUEAL Nº 5 1/2 S/B,un,T,descartables,42
c565,TUBO ENDOTRAQUEAL Nº 5 C/B,un,T,descartables,3
c640,TUBO ENDOTRAQUEAL Nº 5 S/B,un,T,descartables,28
c568,TUBO ENDOTRAQUEAL Nº 6 1/2 C/B,un,T,descartables,32
c762,TUBO ENDOTRAQUEAL Nº 6 1/2 S/B,un,T,descartables,16
c756,TUBO ENDOTRAQUEAL Nº 6 C/B,un,T,descartables,11
c561,TUBO ENDOTRAQUEAL Nº 6 S/B,un,T,descartables,60
c570,TUBO ENDOTRAQUEAL Nº 7 1/2 C/B,un,T,descartables,49
c569,TUBO ENDOTRAQUEAL Nº 7 C/B,un,T,descartables,0
c572,TUBO ENDOTRAQUEAL Nº 8 1/2 C/B,un,T,descartables,57
c571,TUBO ENDOTRAQUEAL Nº 8 C/B,un,T,descartables,33
c1539,TUBO ENDOTRAQUEAL Nº 8 S/B,un,T,descartables,37
c1747,TUBO ENDOTRAQUEAL Nº 9 C/B,un,T,descartables,12
c548,TUBO FLEXIBLE SILMAG (601-445),un,T,descartables,11
g51,TUBO KEHR N 18,un,T,descartables,9
g52,TUBO KEHR N 20,un,T,descartables,10
g53,TUBO DE MAYO 000,un,T,descartables,1
g54,TUBO DE MAYO 00,un,T,descartables,1
g55,TUBO DE MAYO 1,un,T,descartables,1
g56,TUBO DE MAYO 2,un,T,descartables,1
c1006,VASELINA LIQUIDA,un,V,descartables,16
c586,VASELINA SOLIDA,un,V,descartables,5
c588,VENDA DE SMARCH 10CM,un,V,descartables,13
c589,VENDA DE SMARCH 15 CM,un,V,descartables,8
c590,VENDA DE SMARCH 20 CM,un,V,descartables,1
c10498,VENDAS DE YESO 10 CM**-,un,V,descartables,0
c10534,VENDAS DE YESO 15 CM**,un,V,descartables,95
c591,YODO POVIDONA JABON X 5 LTS,un,Y,descartables,1
c643,YODO POVIDONA SOLUCION PHOENIX 1LITRO,un,Y,descartables,40
c21,YODO POVIDONA SOLUCION X 5 LT,un,Y,descartables,2
g57,SET DR OLMEDO,un,S,descartables,0
